SOURCE,TARGET,LINE,SOURCEID,TARGETID,SOURCELAT,SOURCELON
Edinburgh,Mid Calder,Q,https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q4115,55.95,-3.198888889
Mid Calder,Whitburn,Q,https://www.wikidata.org/wiki/Q4115,https://www.wikidata.org/wiki/Q840684,55.8918,-3.481
Whitburn,Glasgow,Q,https://www.wikidata.org/wiki/Q840684,https://www.wikidata.org/wiki/Q4093,55.8621,-3.68719
Glasgow,Glasgow,Q,https://www.wikidata.org/wiki/Q4093,NA,55.87,-4.27
Edinburgh,Peebles,R,https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1011507,55.95,-3.198888889
Peebles,Peebles,R,https://www.wikidata.org/wiki/Q1011507,NA,55.65,-3.18
Edinburgh,Moffat,S,https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q646784,55.95,-3.198888889
Moffat,Lockerbie,S,https://www.wikidata.org/wiki/Q646784,https://www.wikidata.org/wiki/Q216045,55.332,-3.442
Lockerbie,Ecclefechan,S,https://www.wikidata.org/wiki/Q216045,https://www.wikidata.org/wiki/Q1015818,55.12111111,-3.355277778
Ecclefechan,Carlisle,S,https://www.wikidata.org/wiki/Q1015818,https://www.wikidata.org/wiki/Q192896,55.0616,-3.26424
Carlisle,Annan,S,https://www.wikidata.org/wiki/Q192896,https://www.wikidata.org/wiki/Q564495,54.88333333,-2.95
Annan,Dumfries,S,https://www.wikidata.org/wiki/Q564495,https://www.wikidata.org/wiki/Q652035,54.983,-3.266
Dumfries,Castle Douglas,S,https://www.wikidata.org/wiki/Q652035,https://www.wikidata.org/wiki/Q1012300,54.88333333,-2.95
Castle Douglas,Kirkcudbright,S,https://www.wikidata.org/wiki/Q1012300,https://www.wikidata.org/wiki/Q1011387,54.941,-3.929
Kirkcudbright,Gatehouse of Fleet,S,https://www.wikidata.org/wiki/Q1011387,https://www.wikidata.org/wiki/Q996643,54.81666667,-4.033333333
Gatehouse of Fleet,New Galloway,S,https://www.wikidata.org/wiki/Q996643,https://www.wikidata.org/wiki/Q3778560,54.81,-4.16
New Galloway,Newton Stewart,S,https://www.wikidata.org/wiki/Q3778560,https://www.wikidata.org/wiki/Q1016985,55.073,-4.139
Newton Stewart,Glenluce,S,https://www.wikidata.org/wiki/Q1016985,https://www.wikidata.org/wiki/Q1017187,54.958,-4.492
Glenluce,Portpatrick,S,https://www.wikidata.org/wiki/Q1017187,https://www.wikidata.org/wiki/Q1011611,54.878,-4.811
Portpatrick,Portpatrick,S,https://www.wikidata.org/wiki/Q1011611,NA,54.845,-5.12429
Glasgow,Hamilton,T,https://www.wikidata.org/wiki/Q4093,https://www.wikidata.org/wiki/Q4131,55.87,-4.27
Hamilton,Douglas,T,https://www.wikidata.org/wiki/Q4131,https://www.wikidata.org/wiki/Q5301155,55.78,-4.068055556
Douglas,Muirkirk,T,https://www.wikidata.org/wiki/Q5301155,https://www.wikidata.org/wiki/Q1008937,55.55,-3.85
Muirkirk,Moffat,T,https://www.wikidata.org/wiki/Q1008937,https://www.wikidata.org/wiki/Q646784,55.5167,-4.05
Moffat,Moffat,T,https://www.wikidata.org/wiki/Q646784,NA,55.332,-3.442
Aberdeen,Ellon,U,https://www.wikidata.org/wiki/Q36405,https://www.wikidata.org/wiki/Q1026799,57.15,-2.1
Ellon,Peterhead,U,https://www.wikidata.org/wiki/Q1026799,https://www.wikidata.org/wiki/Q1016944,57.366,-2.086
Peterhead,Fraserburgh,U,https://www.wikidata.org/wiki/Q1016944,https://www.wikidata.org/wiki/Q138873,57.5091,-1.7832
Fraserburgh,Strichen,U,https://www.wikidata.org/wiki/Q138873,https://www.wikidata.org/wiki/Q1009989,57.693,-2.005
Strichen,Ellon,U,https://www.wikidata.org/wiki/Q1009989,https://www.wikidata.org/wiki/Q1026799,57.5865,-2.0904
Ellon,Ellon,U,https://www.wikidata.org/wiki/Q1026799,NA,57.366,-2.086
Aberdeen,Oldmeldrum,V,https://www.wikidata.org/wiki/Q36405,https://www.wikidata.org/wiki/Q1009340,57.15,-2.1
Oldmeldrum,Fyvie,V,https://www.wikidata.org/wiki/Q1009340,https://www.wikidata.org/wiki/Q1011189,57.335,-2.32
Fyvie,Turriff,V,https://www.wikidata.org/wiki/Q1011189,https://www.wikidata.org/wiki/Q1016738,57.4272,-2.39798
Turriff,Banff,V,https://www.wikidata.org/wiki/Q1016738,https://www.wikidata.org/wiki/Q54809,57.539,-2.46114
Banff,Fochabers,V,https://www.wikidata.org/wiki/Q54809,https://www.wikidata.org/wiki/Q1011728,57.667,-2.524
Fochabers,Fochabers,V,https://www.wikidata.org/wiki/Q1011728,NA,57.6122,-3.09711
Aberdeen,Kintore,W,https://www.wikidata.org/wiki/Q36405,https://www.wikidata.org/wiki/Q407193,57.15,-2.1
Kintore,Old Rayne,W,https://www.wikidata.org/wiki/Q407193,https://www.wikidata.org/wiki/Q7084820,57.236,-2.34621
Old Rayne,Huntly,W,https://www.wikidata.org/wiki/Q7084820,https://www.wikidata.org/wiki/Q1016931,57.34,-2.54
Huntly,Keith,W,https://www.wikidata.org/wiki/Q1016931,https://www.wikidata.org/wiki/Q1235112,57.45,-2.78333
Keith,Fochabers,W,https://www.wikidata.org/wiki/Q1235112,https://www.wikidata.org/wiki/Q1011728,57.5428,-2.9555
Fochabers,Elgin,W,https://www.wikidata.org/wiki/Q1011728,https://www.wikidata.org/wiki/Q841074,57.6122,-3.09711
Elgin,Forres,W,https://www.wikidata.org/wiki/Q841074,https://www.wikidata.org/wiki/Q1010531,57.64638889,-3.315277778
Forres,Grantown-on-Spey,W,https://www.wikidata.org/wiki/Q1010531,https://www.wikidata.org/wiki/Q1010396,57.6,-3.61673
Grantown-on-Spey,Nairn,W,https://www.wikidata.org/wiki/Q1010396,https://www.wikidata.org/wiki/Q980084,57.3293,-3.60877
Nairn,Fort George,W,https://www.wikidata.org/wiki/Q980084,https://www.wikidata.org/wiki/Q1426707,57.58333333,-3.866666667
Fort George,Inverness,W,https://www.wikidata.org/wiki/Q1426707,https://www.wikidata.org/wiki/Q160493,57.58384444,-4.070177778
Inverness,Inverness,W,https://www.wikidata.org/wiki/Q160493,NA,57.48388889,-4.225833333
Inverness,Dingwall,X,https://www.wikidata.org/wiki/Q160493,https://www.wikidata.org/wiki/Q1011416,57.48388889,-4.225833333
Dingwall,Invergordon,X,https://www.wikidata.org/wiki/Q1011416,https://www.wikidata.org/wiki/Q1011677,57.45,-4.4
Invergordon,Tain,X,https://www.wikidata.org/wiki/Q1011677,https://www.wikidata.org/wiki/Q1020220,57.68805556,-4.156944444
Tain,Dornoch,X,https://www.wikidata.org/wiki/Q1020220,https://www.wikidata.org/wiki/Q1016920,57.8118,-4.0567
Dornoch,Dunbeath,X,https://www.wikidata.org/wiki/Q1016920,https://www.wikidata.org/wiki/Q2464541,57.88,-4.03
Dunbeath,Wick,X,https://www.wikidata.org/wiki/Q2464541,https://www.wikidata.org/wiki/Q1012502,58.25,-3.42
Wick,Stromness,X,https://www.wikidata.org/wiki/Q1012502,https://www.wikidata.org/wiki/Q839556,58.454,-3.089
Stromness,Kirkwall,X,https://www.wikidata.org/wiki/Q839556,https://www.wikidata.org/wiki/Q208329,58.96,-3.3
Kirkwall,Lerwick,X,https://www.wikidata.org/wiki/Q208329,https://www.wikidata.org/wiki/Q213485,58.98111111,-2.96
Lerwick,Lerwick,X,https://www.wikidata.org/wiki/Q213485,NA,60.15416667,-1.148611111
Thurso,"Tongue, Highland",Y,https://www.wikidata.org/wiki/Q526576,https://www.wikidata.org/wiki/Q2679573,58.59611111,-3.521111111
"Tongue, Highland",Halkirk,Y,https://www.wikidata.org/wiki/Q2679573,https://www.wikidata.org/wiki/Q1011584,58.4784,-4.41799
Halkirk,Halkirk,Y,https://www.wikidata.org/wiki/Q1011584,NA,58.51,-3.49
Inverness,Beauly,Z,https://www.wikidata.org/wiki/Q160493,https://www.wikidata.org/wiki/Q523335,57.48388889,-4.225833333
Beauly,Lochcarron,Z,https://www.wikidata.org/wiki/Q523335,https://www.wikidata.org/wiki/Q3045684,57.4847,-4.46204
Lochcarron,Dunvegan,Z,https://www.wikidata.org/wiki/Q3045684,https://www.wikidata.org/wiki/Q747568,57.4,-5.5
Dunvegan,Dunvegan,Z,https://www.wikidata.org/wiki/Q747568,NA,57.44,-6.58
Dingwall,Stornoway,AA,https://www.wikidata.org/wiki/Q1011416,https://www.wikidata.org/wiki/Q165845,57.45,-4.4
Stornoway,Stornoway,AA,https://www.wikidata.org/wiki/Q165845,NA,58.209,-6.387
Glasgow,Inveraray Castle,BB,https://www.wikidata.org/wiki/Q4093,https://www.wikidata.org/wiki/Q1671720,55.87,-4.27
Inveraray Castle,Bonawe,BB,https://www.wikidata.org/wiki/Q1671720,https://www.wikidata.org/wiki/Q3778262,56.2375,-5.073333333
Bonawe,Oban,BB,https://www.wikidata.org/wiki/Q3778262,https://www.wikidata.org/wiki/Q935702,56.4514,-5.23472
Oban,Aros Castle,BB,https://www.wikidata.org/wiki/Q935702,https://www.wikidata.org/wiki/Q2805188,56.40972222,-5.4725
Aros Castle,Tobermory,BB,https://www.wikidata.org/wiki/Q2805188,https://www.wikidata.org/wiki/Q416901,56.5321,-5.9649
Tobermory,Tobermory,BB,https://www.wikidata.org/wiki/Q416901,NA,56.62,-6.07
Bonawe,Appin,CC,https://www.wikidata.org/wiki/Q3778262,https://www.wikidata.org/wiki/Q1404409,56.4514,-5.23472
Appin,Isle of Mull,CC,https://www.wikidata.org/wiki/Q1404409,https://www.wikidata.org/wiki/Q111444,56.5622,-5.35889
Isle of Mull,Fort William,CC,https://www.wikidata.org/wiki/Q111444,https://www.wikidata.org/wiki/Q848909,56.45,-6
Fort William,Inverness,CC,https://www.wikidata.org/wiki/Q848909,https://www.wikidata.org/wiki/Q160493,56.81694444,-5.109722222
Inverness,Inverness,CC,https://www.wikidata.org/wiki/Q160493,NA,57.48388889,-4.225833333
Isle of Mull,Strontian,DD,https://www.wikidata.org/wiki/Q111444,https://www.wikidata.org/wiki/Q503042,56.45,-6
Strontian,Strontian,DD,https://www.wikidata.org/wiki/Q503042,NA,56.683,-5.567
